,path,class
0,../../purrlab/kimia-path_960/A1.tif,A
1,../../purrlab/kimia-path_960/A10.tif,A
3,../../purrlab/kimia-path_960/A12.tif,A
4,../../purrlab/kimia-path_960/A13.tif,A
7,../../purrlab/kimia-path_960/A16.tif,A
8,../../purrlab/kimia-path_960/A17.tif,A
9,../../purrlab/kimia-path_960/A18.tif,A
10,../../purrlab/kimia-path_960/A19.tif,A
11,../../purrlab/kimia-path_960/A2.tif,A
12,../../purrlab/kimia-path_960/A20.tif,A
13,../../purrlab/kimia-path_960/A21.tif,A
14,../../purrlab/kimia-path_960/A22.tif,A
16,../../purrlab/kimia-path_960/A24.tif,A
17,../../purrlab/kimia-path_960/A25.tif,A
18,../../purrlab/kimia-path_960/A26.tif,A
19,../../purrlab/kimia-path_960/A27.tif,A
20,../../purrlab/kimia-path_960/A28.tif,A
21,../../purrlab/kimia-path_960/A29.tif,A
22,../../purrlab/kimia-path_960/A3.tif,A
23,../../purrlab/kimia-path_960/A30.tif,A
24,../../purrlab/kimia-path_960/A31.tif,A
25,../../purrlab/kimia-path_960/A32.tif,A
26,../../purrlab/kimia-path_960/A33.tif,A
27,../../purrlab/kimia-path_960/A34.tif,A
29,../../purrlab/kimia-path_960/A36.tif,A
30,../../purrlab/kimia-path_960/A37.tif,A
31,../../purrlab/kimia-path_960/A38.tif,A
32,../../purrlab/kimia-path_960/A39.tif,A
33,../../purrlab/kimia-path_960/A4.tif,A
34,../../purrlab/kimia-path_960/A40.tif,A
35,../../purrlab/kimia-path_960/A41.tif,A
37,../../purrlab/kimia-path_960/A43.tif,A
38,../../purrlab/kimia-path_960/A44.tif,A
39,../../purrlab/kimia-path_960/A45.tif,A
41,../../purrlab/kimia-path_960/A47.tif,A
42,../../purrlab/kimia-path_960/A48.tif,A
43,../../purrlab/kimia-path_960/A5.tif,A
44,../../purrlab/kimia-path_960/A6.tif,A
46,../../purrlab/kimia-path_960/A8.tif,A
49,../../purrlab/kimia-path_960/B10.tif,B
51,../../purrlab/kimia-path_960/B12.tif,B
52,../../purrlab/kimia-path_960/B13.tif,B
53,../../purrlab/kimia-path_960/B14.tif,B
54,../../purrlab/kimia-path_960/B15.tif,B
55,../../purrlab/kimia-path_960/B16.tif,B
56,../../purrlab/kimia-path_960/B17.tif,B
57,../../purrlab/kimia-path_960/B18.tif,B
58,../../purrlab/kimia-path_960/B19.tif,B
59,../../purrlab/kimia-path_960/B2.tif,B
60,../../purrlab/kimia-path_960/B20.tif,B
61,../../purrlab/kimia-path_960/B21.tif,B
62,../../purrlab/kimia-path_960/B22.tif,B
63,../../purrlab/kimia-path_960/B23.tif,B
64,../../purrlab/kimia-path_960/B24.tif,B
65,../../purrlab/kimia-path_960/B25.tif,B
66,../../purrlab/kimia-path_960/B26.tif,B
67,../../purrlab/kimia-path_960/B27.tif,B
68,../../purrlab/kimia-path_960/B28.tif,B
69,../../purrlab/kimia-path_960/B29.tif,B
70,../../purrlab/kimia-path_960/B3.tif,B
71,../../purrlab/kimia-path_960/B30.tif,B
72,../../purrlab/kimia-path_960/B31.tif,B
73,../../purrlab/kimia-path_960/B32.tif,B
76,../../purrlab/kimia-path_960/B35.tif,B
77,../../purrlab/kimia-path_960/B36.tif,B
78,../../purrlab/kimia-path_960/B37.tif,B
79,../../purrlab/kimia-path_960/B38.tif,B
80,../../purrlab/kimia-path_960/B39.tif,B
83,../../purrlab/kimia-path_960/B41.tif,B
84,../../purrlab/kimia-path_960/B42.tif,B
85,../../purrlab/kimia-path_960/B43.tif,B
86,../../purrlab/kimia-path_960/B44.tif,B
87,../../purrlab/kimia-path_960/B45.tif,B
88,../../purrlab/kimia-path_960/B46.tif,B
89,../../purrlab/kimia-path_960/B47.tif,B
92,../../purrlab/kimia-path_960/B6.tif,B
94,../../purrlab/kimia-path_960/B8.tif,B
97,../../purrlab/kimia-path_960/C10.tif,C
98,../../purrlab/kimia-path_960/C11.tif,C
99,../../purrlab/kimia-path_960/C12.tif,C
101,../../purrlab/kimia-path_960/C14.tif,C
102,../../purrlab/kimia-path_960/C15.tif,C
103,../../purrlab/kimia-path_960/C16.tif,C
104,../../purrlab/kimia-path_960/C17.tif,C
106,../../purrlab/kimia-path_960/C19.tif,C
109,../../purrlab/kimia-path_960/C21.tif,C
110,../../purrlab/kimia-path_960/C22.tif,C
111,../../purrlab/kimia-path_960/C23.tif,C
112,../../purrlab/kimia-path_960/C24.tif,C
113,../../purrlab/kimia-path_960/C25.tif,C
114,../../purrlab/kimia-path_960/C26.tif,C
